MANID,FNAME,LNAME,GENDER,DOB,SALARY
M/001,Tanya,Harrell,male,1998-01-24,6455757
M/002,Hannah,Dunn,female,1984-07-03,5073788
M/003,Dustin,Barber,female,1999-03-03,3473530
M/004,Darrell,Lewis,male,1989-10-12,4206052
M/005,Patrick,Frederick,male,1991-09-28,3013440
M/006,Lisa,Farmer,female,1997-03-26,964727
M/007,Kimberly,Chase,male,1993-09-17,3327408
M/008,Jennifer,Williams,male,1993-07-12,6280781
M/009,Dana,Collins,female,1985-08-28,1476771
M/010,Stephen,Smith,male,1983-11-04,1916620
M/011,Maria,Lee,female,1983-03-18,4895450
M/012,Jason,Richards,female,1998-07-07,2344148
M/013,Natalie,Carter,male,1980-06-11,5306549
M/014,Jessica,Taylor,female,1993-12-08,2648629
M/015,Michael,Horton,female,1991-09-17,3433007
M/016,Robert,Chang,male,1996-09-09,1277229
M/017,Taylor,Miller,female,1984-07-25,1354518
M/018,Anna,Barton,female,1981-05-14,982645
M/019,Hector,Sanchez,female,1988-09-07,5328761
M/020,Harry,Acosta,male,1992-08-19,3354675
M/021,Matthew,Beck,male,1996-06-13,3631745
M/022,Sara,Kline,female,1984-06-28,1167578
M/023,Jenna,Berry,female,1985-10-22,431057
M/024,Kurt,Rivera,female,1986-08-16,3592704
M/025,James,Dickson,female,1980-04-26,5773602
M/026,Sarah,Graves,female,1983-11-06,3745842
M/027,Patricia,Fuentes,male,1998-08-29,6240832
M/028,Thomas,Mcguire,female,1994-06-01,2106878
M/029,Anthony,Clark,male,1995-12-05,486313
M/030,Shannon,Hicks,male,1982-01-30,6040937
M/031,Jason,Weaver,male,1999-09-04,3346022
M/032,David,Lewis,male,1984-06-10,2999142
M/033,Stephanie,Wong,female,1984-11-15,6297563
M/034,Daniel,Davidson,male,1983-09-05,6797620
M/035,Donna,Dunn,female,1988-08-17,1248256
M/036,William,Hanson,male,1995-05-30,1476252
M/037,Anne,Ross,male,1996-08-02,6699451
M/038,Adam,Koch,male,1987-11-07,6819627
M/039,Micheal,Hartman,female,1981-10-22,1989800
M/040,Carl,Anderson,male,1993-04-03,3132067
M/041,Robert,Herrera,male,2000-06-24,5114156
M/042,Melissa,Knapp,female,1994-10-09,3924824
M/043,Stacey,Wiggins,female,1992-04-19,4447750
M/044,Erin,Rodriguez,female,1990-09-06,3982783
M/045,Crystal,Torres,female,1983-01-07,4572776
M/046,Cole,Young,female,1981-08-03,4322315
M/047,Kathryn,Kelly,male,1987-06-16,5182375
M/048,Anthony,Miller,female,1986-12-12,6021880
M/049,David,Thomas,female,2000-07-19,5573628
M/050,Devin,Hansen,male,1986-01-30,5653656
M/051,Allen,Wells,female,1989-03-29,2528180
M/052,Kirsten,Haynes,female,1990-05-15,2557300
M/053,Adam,Smith,female,1990-05-03,635032
M/054,Sean,Peterson,male,1993-02-24,6211580
M/055,Christopher,Gonzales,female,1992-04-28,6755760
M/056,Ashley,Hernandez,female,1997-01-09,4050380
M/057,Samantha,Shah,female,1997-04-18,1470200
M/058,Amy,Martin,male,1998-04-17,4815847
M/059,Donald,Myers,female,1991-03-23,5008110
M/060,Christina,Roach,female,1999-07-23,2348692
