employee_id,name,department_id,role,work_mode,hours_per_week,productivity_score,years_of_experience
E0001,Abigail Shaffer,6,Manager,Remote,52.2,5.47,2.8
E0002,Gina Moore,1,Lead,Remote,47.7,4.19,1.9
E0003,Gabrielle Davis,2,Lead,Hybrid,30.8,5.19,13.0
E0004,Ryan Munoz,5,Intern,Remote,43.5,5.67,17.4
E0005,Monica Herrera,2,Intern,Onsite,38.3,5.29,15.3
E0006,Jamie Arnold,1,Manager,Onsite,32.9,9.08,12.1
E0007,Lisa Hensley,1,Intern,Hybrid,33.7,9.53,1.6
E0008,Michele Williams,3,Lead,Onsite,47.3,8.23,0.9
E0009,Dylan Miller,2,Analyst,Remote,55.7,9.2,7.6
E0010,Brian Ramirez,4,Analyst,Remote,41.1,5.26,5.3
E0011,Holly Wood,6,Manager,Hybrid,49.0,7.2,4.9
E0012,Derek Zuniga,4,Intern,Onsite,59.7,7.84,11.1
E0013,Lisa Jackson,6,Analyst,Remote,36.9,4.19,6.3
E0014,Carla Gray,3,Manager,Remote,57.4,7.4,14.4
E0015,Margaret Hawkins DDS,2,Intern,Onsite,56.5,7.86,2.9
E0016,Patty Perez,2,Executive,Hybrid,46.8,5.58,11.7
E0017,Ethan Adams,5,Intern,Onsite,36.6,9.99,10.2
E0018,Tommy Walter,1,Manager,Remote,34.6,4.96,13.6
E0019,Matthew Foster,5,Manager,Onsite,41.4,9.98,10.6
E0020,Judy Baker,5,Manager,Hybrid,51.6,8.09,10.7
E0021,Justin Baker,3,Analyst,Remote,38.8,4.95,0.1
E0022,Stephanie Ross,6,Analyst,Hybrid,52.9,7.05,2.1
E0023,Zachary Hicks,6,Analyst,Hybrid,45.2,5.19,7.5
E0024,Anthony Rodriguez,2,Lead,Hybrid,57.6,7.59,9.8
E0025,Rebecca Henderson,1,Analyst,Onsite,37.2,5.45,11.3
E0026,James Ferrell,1,Manager,Hybrid,44.6,4.42,15.2
E0027,Tricia Valencia,2,Executive,Hybrid,44.3,7.3,5.3
E0028,Nathan Maldonado,5,Intern,Remote,57.9,8.53,13.8
E0029,Debra Davidson,6,Analyst,Onsite,59.9,7.9,8.8
E0030,Jeffrey Chavez,5,Intern,Remote,37.4,4.38,0.4
